generacion,empieza,distancia,max_comer,min_comer,ficha_casa,casilla_segura,recta_final,casilla_final,rebote,barrera,resultado,timestamp
45,12,0,71.09470886230469,19.88181640625,-30.87,1.554795684814453,35.300976562500004,73.805947265625,-22.255085449218747,18.5,Derrota,2025-06-07T20:12:21.119015
46,11,1.0905386352539064,71.09470886230469,19.88181640625,-22.864104614257812,0,35.300976562500004,82.81,-22.255085449218747,17.982111816406253,Derrota,2025-06-07T20:13:25.378080
46,12,1.0905386352539064,71.09470886230469,19.88181640625,-22.864104614257812,0,35.300976562500004,82.81,-22.255085449218747,17.982111816406253,Victoria,2025-06-07T20:14:29.398972
47,11,1.0905386352539064,71.09470886230469,19.88181640625,-22.864104614257812,0.7773978424072265,35.300976562500004,78.30797363281249,-22.255085449218747,17.982111816406253,Derrota,2025-06-07T20:15:18.140965
47,12,1.0905386352539064,71.09470886230469,19.88181640625,-22.864104614257812,0.7773978424072265,35.300976562500004,78.30797363281249,-22.255085449218747,17.982111816406253,Victoria,2025-06-07T20:16:06.157247
48,11,1.0905386352539064,71.09470886230469,2.95,-22.864104614257812,0.7773978424072265,35.300976562500004,100,-7.64,17.982111816406253,Derrota,2025-06-07T20:16:54.410629
48,12,1.0905386352539064,71.09470886230469,2.95,-22.864104614257812,0.7773978424072265,35.300976562500004,100,-7.64,17.982111816406253,Victoria,2025-06-07T20:17:43.001207
49,11,1.0905386352539064,71.09470886230469,15.75,-22.864104614257812,0,35.300976562500004,100,-23.11,17.982111816406253,Derrota,2025-06-07T20:18:31.628184
49,12,1.0905386352539064,71.09470886230469,15.75,-22.864104614257812,0,35.300976562500004,100,-23.11,17.982111816406253,Victoria,2025-06-07T20:19:20.379071
50,11,1.0905386352539064,84.53,13.5829541015625,-22.864104614257812,0.38869892120361327,35.300976562500004,69.15,-19.02877136230469,43.27,Victoria,2025-06-07T20:20:12.090715
50,12,1.0905386352539064,84.53,13.5829541015625,-22.864104614257812,0.38869892120361327,35.300976562500004,69.15,-19.02877136230469,43.27,Derrota,2025-06-07T20:21:04.287055
51,11,1.0905386352539064,77.81235443115234,13.5829541015625,-22.864104614257812,0,50.92,62.28,-5.77,30.626055908203128,Victoria,2025-06-07T20:21:56.449802
51,12,1.0905386352539064,77.81235443115234,13.5829541015625,-22.864104614257812,0,50.92,62.28,-5.77,30.626055908203128,Derrota,2025-06-07T20:22:47.852058
52,11,1.0905386352539064,77.81235443115234,13.5829541015625,-22.864104614257812,0,17.94,72.07174835205078,-12.399385681152344,30.626055908203128,Derrota,2025-06-07T20:23:35.584732
52,12,1.0905386352539064,77.81235443115234,13.5829541015625,-22.864104614257812,0,17.94,72.07174835205078,-12.399385681152344,30.626055908203128,Victoria,2025-06-07T20:24:23.298719
53,11,1.0905386352539064,77.81235443115234,30.17,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-40.7,30.626055908203128,Derrota,2025-06-07T20:25:20.594124
53,12,1.0905386352539064,77.81235443115234,30.17,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-40.7,30.626055908203128,Victoria,2025-06-07T20:26:16.628239
54,11,0,77.81235443115234,21.87647705078125,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-38.65,30.626055908203128,Derrota,2025-06-07T20:27:13.367637
54,12,0,77.81235443115234,21.87647705078125,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-38.65,30.626055908203128,Victoria,2025-06-07T20:28:09.809983
55,11,25.34,49.22,42.01,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-32.59984642028809,30.626055908203128,Victoria,2025-06-07T20:29:01.638953
55,12,25.34,49.22,42.01,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-32.59984642028809,30.626055908203128,Derrota,2025-06-07T20:29:52.892338
56,11,17.88,63.51617721557617,31.943238525390626,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-32.59984642028809,1.12,Derrota,2025-06-07T20:31:04.936049
56,12,17.88,63.51617721557617,31.943238525390626,-22.864104614257812,0.09717473030090332,30.525244140625,72.07174835205078,-32.59984642028809,1.12,Victoria,2025-06-07T20:32:17.708256
57,11,29.26,63.51617721557617,16.54,-22.864104614257812,14.58,18.32,78.28,-32.59984642028809,15.873027954101564,Victoria,2025-06-07T20:33:19.188103
57,12,29.26,63.51617721557617,16.54,-22.864104614257812,14.58,18.32,78.28,-32.59984642028809,15.873027954101564,Derrota,2025-06-07T20:34:21.827407
